Bedrooms,Bathrooms,Price,Year_built,Address,City,State
2,2.5,181000,1986,5610  HICKORY MEADOWS CT, BRENTWOOD, TN
3,4,570000,1963,5810  CLOVERLAND DR, BRENTWOOD, TN
3,3.5,1350000,2014,1939  OLD HICKORY BLVD, BRENTWOOD, TN
2,2.5,179000,1986,5723  BRENTWOOD MEADOWS CIR, BRENTWOOD, TN
4,3.5,480000,1983,5644  CLOVERMEADE DR, BRENTWOOD, TN
4,4,525000,1973,5720  CLOVERWOOD DR, BRENTWOOD, TN
2,2.5,150000,1986,5713  BRENTWOOD MEADOWS CIR, BRENTWOOD, TN
3,3,375000,1980,5812  HEARTHSTONE LN, BRENTWOOD, TN
4,3,441000,1983,5809  FIRESIDE DR, BRENTWOOD, TN
3,2,450000,1983,5720  SPRING HOUSE WAY, BRENTWOOD, TN
4,5,727500,1960,5566  HILL RD, BRENTWOOD, TN
3,2.5,449944,1940,5645  VALLEY VIEW RD, BRENTWOOD, TN
3,3,490000,1977,1914  OLD HICKORY BLVD, BRENTWOOD, TN
4,4,950000,1921,640 HILL  RD, BRENTWOOD, TN
4,3,356000,1986,537 HEARTHSTONE  CIR, BRENTWOOD, TN
4,3,405000,1986,5537 TROUSDALE  DR, BRENTWOOD, TN
4,3,445000,1982,500 HEARTHSTONE  CIR, BRENTWOOD, TN
4,2,205000,1983,5633 KRISTIN  LN, BRENTWOOD, TN
4,3,410000,1987,5949 FIRESIDE  DR, BRENTWOOD, TN
4,2.5,509250,1979,5501 CLOVERCREST  DR, BRENTWOOD, TN
5,2.5,425000,1973,5716 CLOVERLAND  PL, BRENTWOOD, TN
4,2.5,375000,1976,5708 CLOVERLAND  PL, BRENTWOOD, TN
4,3,420000,1980,5512 SADDLEWOOD  LN, BRENTWOOD, TN
3,2.5,435500,1976,5349 GRANNY WHITE  PIKE, BRENTWOOD, TN
4,3,550000,1970,1236 CLIFTEE  DR, BRENTWOOD, TN
4,5,729000,1977,5556 HILLVIEW  DR, BRENTWOOD, TN
3,2.5,375000,1987,925 FIRESIDE  CT, BRENTWOOD, TN
2,2,466000,1949,5540 SADDLEWOOD  LN, BRENTWOOD, TN
4,2.5,370000,1977,5830 CLOVERLAND  DR, BRENTWOOD, TN
4,3,420000,1982,5512 CLOVERCREST  DR, BRENTWOOD, TN
7,4,555000,1976,5725 CLOVERWOOD  DR, BRENTWOOD, TN
4,3,459900,1983,504 HEARTHSTONE  CIR, BRENTWOOD, TN
3,2,400500,1983,5712 HEARTHSTONE  LN, BRENTWOOD, TN
3,1.5,170000,1986,5521 THALMAN  DR, BRENTWOOD, TN
2,2.5,171260,1986,5725 BRENTWOOD MEADOWS  CIR, BRENTWOOD, TN
3,1,300000,1931,5900 CLOVERLAND  DR, BRENTWOOD, TN
3,3,510000,1960,1134 OMAN  DR, BRENTWOOD, TN
5,4,1500000,2005,5 AGINCOURT  WAY, BRENTWOOD, TN
5,3.5,1025000,2000,1100 RADNOR GLEN  DR, BRENTWOOD, TN
4,3,435000,1986,537 HEARTHSTONE  CIR, BRENTWOOD, TN
3,1,78600,1962,404  BONNAWOOD DR, HERMITAGE, TN
4,2,140000,1962,229  BONNABROOK DR, HERMITAGE, TN
3,1.5,47025,1985,813  BRADLEY PL, HERMITAGE, TN
3,1,83500,1963,6003  BALTIC DR, HERMITAGE, TN
3,1,110000,1962,6015  CORTEZ CT, HERMITAGE, TN
3,2,125000,1987,1601  ROBARDS WAY, HERMITAGE, TN
3,2,104900,1984,4320  CENTRAL VALLEY DR, HERMITAGE, TN
4,3,150000,1989,4221  NEW HOPE MEADOW RD, HERMITAGE, TN
3,2,207000,1999,5717  S NEW HOPE RD, HERMITAGE, TN
3,1.5,124000,1984,681  DUTCHMANS DR, HERMITAGE, TN
3,2,139900,1992,224  DOCKSIDE CT, HERMITAGE, TN
4,3,145000,1989,4113  NEW HOPE MEADOW RD, HERMITAGE, TN
3,1.5,144000,1977,924  HERMITAGE RDG, HERMITAGE, TN
4,2,132900,1965,419  BONNAWOOD CT, HERMITAGE, TN
3,2,187000,1971,512  FRANKFORT DR, HERMITAGE, TN
3,2,74000,1985,1015  RACHELS SQUARE DR, HERMITAGE, TN
2,1,80000,1960,315  BONNALYNN DR, HERMITAGE, TN
3,1.5,124900,1979,4900  LEESA ANN LN, HERMITAGE, TN
3,2,149500,1987,1621  JACKSONS VALLEY PL, HERMITAGE, TN
3,2,127000,1987,1413  MARKET SQ, HERMITAGE, TN
2,1.5,89000,1987,411  WISTERIA LN, HERMITAGE, TN
3,2,80200,1985,4280  VALLEY GROVE DR, HERMITAGE, TN
3,1,106500,1963,7025  BONNAFAIR DR, HERMITAGE, TN
3,1.5,119800,1977,306  MONACO DR, HERMITAGE, TN
3,1,114000,1960,3932  PLANTATION DR, HERMITAGE, TN
2,1,106000,1960,309  BONNALYNN DR, HERMITAGE, TN
3,1.5,137500,1967,8207  TERRY LN, HERMITAGE, TN
4,1.5,125000,1980,708  HIDDEN HILL DR, HERMITAGE, TN
3,2,119900,1989,824  STONER MILL LN, HERMITAGE, TN
4,2.5,132500,1986,1533  MARKET SQ, HERMITAGE, TN
3,2,170000,1989,1577  MARKET SQ, HERMITAGE, TN
3,2,94900,1984,4213  VALLEY GROVE DR, HERMITAGE, TN
3,2.5,197000,1989,4520  RACCOON TRL, HERMITAGE, TN
3,1.5,110000,1974,905  HAVEN CRST, HERMITAGE, TN
3,1.5,139900,1961,7008  BONNAMERE DR, HERMITAGE, TN
4,2,110000,1963,326  BONNAHURST DR, HERMITAGE, TN
3,1.5,141000,1963,336  BONNAHURST DR, HERMITAGE, TN
3,1,126500,1961,3837  BONNACREEK DR, HERMITAGE, TN
3,3,159900,1984,4774  TRENTON DR, HERMITAGE, TN
2,1,110000,1965,218  BONNAVUE DR, HERMITAGE, TN
3,1.5,112000,1966,4253  SWEDEN DR, HERMITAGE, TN
5,1.5,165000,1967,4404  JUNEAU DR, HERMITAGE, TN
3,2,142000,1977,4360  BATON ROUGE DR, HERMITAGE, TN
3,2,159000,1970,640  DENVER DR, HERMITAGE, TN
3,1.5,137900,1976,4828  CONCORD DR, HERMITAGE, TN
3,3,180250,1984,669  DUTCHMANS DR, HERMITAGE, TN
3,1,139900,1964,8303  LUREE LN, HERMITAGE, TN
3,1.5,154900,1963,302  BELINDA DR, HERMITAGE, TN
3,1,107000,1960,316  BONNALYNN DR, HERMITAGE, TN
3,1,114000,1960,319  BONNARIDGE DR, HERMITAGE, TN
2,1,55000,1940,3957  DODSON CHAPEL RD, HERMITAGE, TN
3,2,123000,1985,1312  PRESIDENTIAL TRCE, HERMITAGE, TN
3,2,125000,1987,1408  MARKET SQ, HERMITAGE, TN
4,2,69000,1979,3524  MAGNUM DR, HERMITAGE, TN
4,2,65500,1979,3557  ALBEE DR, HERMITAGE, TN
3,2,95000,1987,3355  LAKESIDE PL, HERMITAGE, TN
4,2,181500,1989,1229  FIREFLY RD, HERMITAGE, TN
3,3,217900,1997,100  NANCY CT, HERMITAGE, TN
3,2.5,180000,2003,4852  MYRA DR, HERMITAGE, TN
3,2,149900,1979,5212  ALYADAR DR, HERMITAGE, TN
3,2,165000,1979,5940  NEW HOPE CT, HERMITAGE, TN
3,1.5,137700,1964,7035  BONNAVENT DR, HERMITAGE, TN
3,1,110000,1963,7009  BONNAVENT DR, HERMITAGE, TN
3,1.5,125500,1965,7046  BONNAVENT DR, HERMITAGE, TN
3,1,108000,1961,196  JACKSONIAN DR, HERMITAGE, TN
3,1,133640,1964,5009  BONNAWELL DR, HERMITAGE, TN
3,1,120000,1950,454  HIGHLAND VIEW DR, HERMITAGE, TN
3,1.5,135035,1972,524  ST PAUL DR, HERMITAGE, TN
3,1.5,115511,1967,175  BONNAFIELD DR, HERMITAGE, TN
3,1,146000,1969,4424  ANDREW JACKSON PKWY, HERMITAGE, TN
4,2.5,169486,1973,644  DUTCHMANS DR, HERMITAGE, TN
3,1.5,105000,1962,302  BONNAHURST DR, HERMITAGE, TN
3,1.5,116000,1965,285  BONNASPRING DR, HERMITAGE, TN
2,1.5,127900,1964,8410  TERRY LN, HERMITAGE, TN
3,1.5,105000,1960,135  BONNABROOK DR, HERMITAGE, TN
3,2,135000,1960,304  JACKSONIAN DR, HERMITAGE, TN
2,1,100000,1960,306  BONNARIDGE DR, HERMITAGE, TN
3,2,55000,1986,833  NETHERLANDS DR, HERMITAGE, TN
3,2,150000,1983,1120  JACKSONS VIEW RD, HERMITAGE, TN
3,2,129000,1986,1537  MARKET SQ, HERMITAGE, TN
3,1.5,89000,1980,108  ALBEE CT, HERMITAGE, TN
4,2,78076,1983,4508  BROOKE VALLEY DR, HERMITAGE, TN
4,2,73500,1983,4608  FOREST RIDGE DR, HERMITAGE, TN
4,3,100000,1973,4059  LAKE PKWY, HERMITAGE, TN
3,1.5,139900,1967,384  BONNAVALE DR, HERMITAGE, TN
3,2,142000,1961,162  JACKSONIAN DR, HERMITAGE, TN
3,1.5,116300,1964,153  JACKSONIAN DR, HERMITAGE, TN
3,1.5,60000,1960,5006  BONNALYNN DR, HERMITAGE, TN
3,1.5,124900,1962,5002  BONNAVISTA DR, HERMITAGE, TN
3,2.5,380000,2000,896  TULIP GROVE RD, HERMITAGE, TN
3,1.5,112000,1963,7009  BONNACREST DR, HERMITAGE, TN
4,2,110500,1983,4405  ANDREW JACKSON PKWY, HERMITAGE, TN
3,2,144600,1973,4373  BATON ROUGE DR, HERMITAGE, TN
4,2,124000,1969,4465  BATON ROUGE DR, HERMITAGE, TN
4,3,192000,1984,745  ALBANY DR, HERMITAGE, TN
4,2,139500,1967,230  BONNAFIELD DR, HERMITAGE, TN
3,1.5,144900,1963,8218  LUREE LN, HERMITAGE, TN
3,1.5,147500,1963,8412  TERRY LN, HERMITAGE, TN
3,2.5,82500,1985,4305  BATON ROUGE DR, HERMITAGE, TN
3,2,108000,1985,507  DEBBIE DR, HERMITAGE, TN
3,1.5,125900,1976,644  HIDDEN HILL DR, HERMITAGE, TN
3,2,195000,2001,527  OLD LEBANON DIRT RD, HERMITAGE, TN
3,3,162000,1987,1816  BARNWELL CT, HERMITAGE, TN
3,2.5,229900,2004,948  WONDERLAND PASS, HERMITAGE, TN
3,3,190000,1997,4925  SEINER CT, HERMITAGE, TN
4,2,201000,1971,4020  LAKE PKWY, HERMITAGE, TN
4,2,182000,1972,5965  PORT ANADARKO TRL, HERMITAGE, TN
3,2,173900,1993,5325  ROXBOROUGH PASS, HERMITAGE, TN
5,1.5,142924,1966,7045  BONNAVENT DR, HERMITAGE, TN
3,1.5,60000,1962,179  JACKSONIAN DR, HERMITAGE, TN
3,1.5,101000,1977,305  MONACO DR, HERMITAGE, TN
4,2,120000,1985,724  RACHELS TRL, HERMITAGE, TN
2,1.5,90000,1985,4341  ANDREW JACKSON PKWY, HERMITAGE, TN
4,4,95000,1983,117  BELGIUM CT, HERMITAGE, TN
2,1.5,78750,1985,4251  ANDREW JACKSON PKWY, HERMITAGE, TN
4,4.5,182500,1979,613  BELGIUM DR, HERMITAGE, TN
3,2,17000,2014,258  BONNALYNN DR, HERMITAGE, TN
3,1.5,97900,1978,608  DEBBIE DR, HERMITAGE, TN
3,2,122000,1990,840  STONER MILL LN, HERMITAGE, TN
3,2,155000,1989,404  STONER CREEK CT, HERMITAGE, TN
3,2,120000,1986,1105  JACKSONS VALLEY RD, HERMITAGE, TN
3,2.5,146000,1986,1124  JACKSONS VALLEY RD, HERMITAGE, TN
3,2,175000,1990,1908  WELSENBORO CIR, HERMITAGE, TN
3,2,114000,1991,3229  DOCKSIDE DR, HERMITAGE, TN
3,1.5,110000,1978,465  ROCKWOOD DR, HERMITAGE, TN
3,2.5,255000,2004,944  WONDERLAND PASS, HERMITAGE, TN
4,2,73100,1984,4561  BROOKE VALLEY DR, HERMITAGE, TN
2,1,30000,1984,4637  FOREST RIDGE DR, HERMITAGE, TN
4,2,77000,1983,4504  BROOKE VALLEY DR, HERMITAGE, TN
3,2,137500,1977,5852  S NEW HOPE RD, HERMITAGE, TN
3,1.5,112000,1974,909  HAVEN CRST, HERMITAGE, TN
2,2,135000,1977,920  HERMITAGE RDG, HERMITAGE, TN
3,2,134000,1969,4431  ANDREW JACKSON PKWY, HERMITAGE, TN
4,2,115000,1984,409  RACHELS CT W, HERMITAGE, TN
3,2,140000,1975,710  DUTCHMANS CT, HERMITAGE, TN
3,2,128500,1977,645  NETHERLANDS DR, HERMITAGE, TN
3,2,137000,1984,1636  RACHELS RETREAT CIR, HERMITAGE, TN
4,2,82000,1983,4528  BROOKE VALLEY DR, HERMITAGE, TN
4,3,240000,1971,4056  PORT CLEBURNE LN, HERMITAGE, TN
4,2,94000,1983,120  GLEN COVE TRL, HERMITAGE, TN
3,3,190000,1993,5308  ROXBOROUGH PASS, HERMITAGE, TN
3,3,293790,1985,2304  STEWARTS FERRY PIKE, HERMITAGE, TN
3,1.5,113000,1963,7027  BONNAVENT DR, HERMITAGE, TN
3,1.5,142000,1967,386  BONNAVALE DR, HERMITAGE, TN
3,1.5,131270,1965,7018  BONNALAKE DR, HERMITAGE, TN
3,1.5,86000,1960,5006  BONNALYNN DR, HERMITAGE, TN
3,1,139900,1963,5007  BONNAWELL DR, HERMITAGE, TN
3,1.5,114000,1968,4553  ANDREW JACKSON PKWY, HERMITAGE, TN
3,1.5,150000,1977,521  DUTCHMANS DR, HERMITAGE, TN
3,1.5,135000,1972,664  ATLANTA DR, HERMITAGE, TN
4,2.5,170000,1973,644  DUTCHMANS DR, HERMITAGE, TN
3,2,72500,1985,710  MERCER DR, HERMITAGE, TN
3,2,152500,1986,557  OLD LEBANON DIRT RD, HERMITAGE, TN
2,2,118000,1987,713  WOODBRIER CT, HERMITAGE, TN
3,2,108000,1986,1125  JACKSONS VALLEY RD, HERMITAGE, TN
3,2,149500,2013,1553  MARKET SQ, HERMITAGE, TN
4,2,177500,1988,309  STROMBURY CT, HERMITAGE, TN
3,2,169000,1989,1117  MISTLETOE CIR, HERMITAGE, TN
4,2,219000,1972,5912  PORT ANADARKO TRL, HERMITAGE, TN
3,3,115000,1985,5700  ST CHARLES CT, HERMITAGE, TN
5,3,159000,1968,536  ALBANY DR, HERMITAGE, TN
4,2,59000,1978,540  RALIEGH DR, HERMITAGE, TN
3,1.5,144900,1980,501  DUTCHMANS DR, HERMITAGE, TN
2,1,119900,1960,223  JACKSONIAN DR, HERMITAGE, TN
3,2,65000,1985,713  MERCER DR, HERMITAGE, TN
3,1,115000,1968,120  ALOHA CT, HERMITAGE, TN
3,1.5,147000,1969,425  HARWELL DR, HERMITAGE, TN
4,1,129000,1980,729  HIDDEN HILL DR, HERMITAGE, TN
3,3,240000,1963,2036  EVERSONG LN, HERMITAGE, TN
3,2,148000,1968,3830  PACIFICA DR, HERMITAGE, TN
3,1.5,52780,1980,3528  ALBEE DR, HERMITAGE, TN
4,3,229500,1989,4113  NEW HOPE MEADOW RD, HERMITAGE, TN
4,3,201000,1973,4059  LAKE PKWY, HERMITAGE, TN
4,3,365000,1967,12009  OLD HICKORY BLVD, HERMITAGE, TN
3,1.5,64000,1963,8010  BONNAFAIR DR, HERMITAGE, TN
4,1,71212,1962,3818  PLANTATION DR, HERMITAGE, TN
4,3,159000,1967,4505  ANDREW JACKSON PKWY, HERMITAGE, TN
6,4,150000,1970,4543  BATON ROUGE DR, HERMITAGE, TN
6,2,250000,1974,537  FRANKFORT DR, HERMITAGE, TN
3,2,132000,1988,185  BONNAFIELD DR, HERMITAGE, TN
3,2.5,79900,1985,104  RACHELS TRAIL CT, HERMITAGE, TN
3,2,160800,1977,637  DUTCHMANS DR, HERMITAGE, TN
3,2,95000,1973,632  DUTCHMANS DR, HERMITAGE, TN
4,2,250000,1984,692  FRANKFORT DR, HERMITAGE, TN
4,2,80000,1960,225  BONNAFIELD DR, HERMITAGE, TN
3,1,107000,1960,3933  PLANTATION DR, HERMITAGE, TN
2,1,63500,1985,4314  BATON ROUGE DR, HERMITAGE, TN
3,2,135000,1987,900  LIBBY LN, HERMITAGE, TN
3,1,110000,1960,235  JACKSONIAN DR, HERMITAGE, TN
3,2,79900,1986,807  NETHERLANDS DR, HERMITAGE, TN
3,2,121500,1983,1100  JACKSONS VALLEY RD, HERMITAGE, TN
3,2,145000,1984,1228  JACKSONS HILL RD, HERMITAGE, TN
3,2,137000,1985,1104  JACKSONS VALLEY RD, HERMITAGE, TN
4,2,127711,1979,3535  ALBEE DR, HERMITAGE, TN
3,1,80000,1979,501  ROCKWOOD DR, HERMITAGE, TN
3,2,110900,1986,4112  WOODWAY LN, HERMITAGE, TN
4,3,221600,1988,4233  NEW HOPE MEADOW RD, HERMITAGE, TN
3,3,176500,1985,5704  ST CHARLES CT, HERMITAGE, TN
3,2,158000,1979,516  NEWCASTLE LN, HERMITAGE, TN
3,1,150000,1962,5526  S NEW HOPE RD, HERMITAGE, TN
3,3,521000,1999,3061  PALOMINO PL, HERMITAGE, TN
4,3,135000,1969,612  TOPEKA DR, HERMITAGE, TN
3,2.5,134943,1972,657  ATLANTA DR, HERMITAGE, TN
3,2,125500,1986,648  FRANKFORT DR, HERMITAGE, TN
4,2,200000,1977,650  NETHERLANDS DR, HERMITAGE, TN
3,1.5,116900,1978,4924  SHADOWLAWN DR, HERMITAGE, TN
3,1,93250,1969,6048  PANAMA DR, HERMITAGE, TN
2,2,130000,1984,1233  JACKSONS HILL RD, HERMITAGE, TN
